Α/Α;Answer ID;User;Question;Category;Type;LLM Score;Teacher 1;Teacher 2;Human Avg;Human Weighted;Final Score;Διαφορά (Human–LLM);Ημερομηνία
1;ef5ac578-4f65-4d4a-a358-4d51134daa87;u_1761749119234_62kzei;comm_open11;Communication;open;8,4;;;;;3,3;;01/11/2025 
2;305a5039-1542-427c-b002-4623a9abd0cd;u_1761749119234_62kzei;comm_open12;Communication;open;8,4;;;;;3,3;;01/11/2025 
3;ed4154e1-6283-47f3-9b45-e369aea5dab6;u_1761749119234_62kzei;lead_open1;Leadership;open;7,7;2,7;8,4;5,6;5,6;6,4;-2,190;01/11/2025 
4;3ce2f9bf-799a-4b24-aaec-89544fa5dac2;u_1761749119234_62kzei;lead_open1;Leadership;open;8,3;;;;;3,3;;01/11/2025 
5;b11d92d6-690a-4a0b-96de-83c9975447f6;u_1761749119234_62kzei;lead_open11;Leadership;open;7,2;;;;;2,9;;01/11/2025 
6;30cf674f-2f8f-487d-9b87-bebf495ce1f5;u_1761749119234_62kzei;lead_open11;Leadership;open;8,3;;;;;3,3;;01/11/2025 
7;e59662b4-56af-4bfc-9823-64d5f8ceb41d;u_test_123;lead_open4;Leadership;open;3,0;;;;;1,2;;01/11/2025 
8;ce6edb7f-2fad-475d-ba41-0660491e438c;u_test_123;lead_open4;Leadership;open;4,0;;;;;1,6;;01/11/2025 
9;9f8b17c6-7bee-422a-a233-724685eaf4c7;u_1761749119234_62kzei;prob_open7;Problem Solving;open;8,0;;;;;3,2;;01/11/2025 
10;ecc63f7c-8c4f-4a54-8f49-10773ff100c8;u_1761749119234_62kzei;prob_open9;Problem Solving;open;9,2;4,9;7,7;6,3;6,3;7,5;-2,910;01/11/2025 
11;df34b48b-c5c4-4d62-82ec-b919ccf375ea;u_1761749119234_62kzei;team_open11;Teamwork;open;8,1;;;;;3,2;;01/11/2025 
12;707be4f5-cfd1-45ba-89d6-ed86d9af40ee;u_1761749119234_62kzei;team_open2;Teamwork;open;8,5;;;;;3,4;;01/11/2025 
